Country,Area,Waterbody Type,Date,Ammonia (mg/l),Biochemical Oxygen Demand (mg/l),Dissolved Oxygen (mg/l),Orthophosphate (mg/l),pH (ph units),Temperature (cel),Nitrogen (mg/l),Nitrate (mg/l),CCME_Values,CCME_WQI
Canada,FISW_604,Lake,12-01-1981,0.1,2.13333,8.358,0.005,7.79,6.327,0.223,0.119529,100.0,Excellent
Canada,FISW_487,Lake,12-01-1982,0.041216,2.13333,8.591,0.002,7.79,8.178,0.21,6.667062,100.0,Excellent
Canada,FISW_487,Lake,12-01-1983,0.05796,2.13333,8.171,0.006,7.79,8.518,0.346,5.83682,100.0,Excellent
Canada,FISW_451,Lake,12-01-1984,0.65688,2.13333,6.015,0.004,7.79,6.092,0.445,5.83682,93.03844017209576,Good
Canada,FISW_416,Lake,12-01-1985,0.0072128,2.13333,10.645,0.002,7.79,6.172,0.053,0.0641915,100.0,Excellent
Canada,FISW_183,Lake,12-01-1986,0.0322,2.13333,8.775,0.0,7.79,6.626,0.265,0.084113,100.0,Excellent
Canada,FISW_403,Lake,10-04-1986,0.1,2.13333,9.291,0.0,7.79,15.169,0.017,0.035416,100.0,Excellent
Canada,FI35879,Lake,12-01-1987,0.01205568,2.13333,9.762,0.031214,7.79,7.516,0.033,0.066405,100.0,Excellent
Canada,UK52264975,Lake,12-01-1988,0.030912,2.13333,9.17,0.027667,7.79,7.283,0.125,1.320720191,100.0,Excellent
Canada,UK49714100,Lake,12-01-1989,0.030912,7.06154,7.213,0.00395,7.79,9.885,0.07,2.08069,93.14414618339823,Good
Canada,FISW_62,Lake,10-04-1989,0.1,2.13333,7.505,0.0,7.79,10.15,0.0,0.0,100.0,Excellent
Canada,UK46825580,Lake,12-01-1990,0.01588529,10.6545,11.7909,0.005571,7.79,10.235,0.0586667,1.182009,92.34561130835056,Good
Canada,FISW_522,Lake,10-04-1990,0.1,2.13333,8.74,0.0,7.79,11.116,0.0,0.0,100.0,Excellent
Canada,UK49714100,Lake,12-01-1991,0.002576,7.65,11.684103383014412,0.007,7.79,7.068,0.004,0.407284,93.0738083584153,Good
Canada,UK46825580,Lake,12-01-1992,0.010948,1.2,9.425,0.011,7.79,9.815,0.0085,11.496919,100.0,Excellent
Canada,FI35879,Lake,12-01-1993,0.03864,7.4,5.089,0.004389,7.79,7.916,0.06,0.243485,93.10712296435614,Good
Canada,FI35879,Lake,12-01-1994,0.01288,1.37571,8.73,0.001,7.79,11.0354,0.022,0.097394,100.0,Excellent
Canada,FI35879,Lake,12-01-1995,0.182896,1.45833,9.862,0.01,7.79,11.2686,0.09,0.243485,100.0,Excellent
Canada,FI35879,Lake,12-01-1996,0.088872,2.08,10.9137,3.26e-05,7.79,9.62823,0.024,2.07466928,100.0,Excellent
Canada,FI9603,Lake,12-01-1997,0.031280368,0.64,10.878,0.0025,7.79,10.852,0.022,0.097394,100.0,Excellent
Canada,FI35879,Lake,12-01-1998,0.0117208,2.13333,10.8417,0.00516667,7.79,10.65,0.2395,3.72412521,100.0,Excellent
Canada,FI35879,Lake,12-01-1999,0.03864,0.6,8.25,0.028,7.79,8.069,0.0718,7.671991,100.0,Excellent
Canada,IT09S1287,River,12-01-2000,0.02093,1.05,8.878,0.012,7.79,7.737,0.07525,0.154945,100.0,Excellent
Canada,IT09S1281,River,12-01-2001,0.05474,1.9,10.825,0.03,7.6925,8.469,0.156,0.08854,100.0,Excellent
Canada,IEEA_10_32,Lake,08-06-2001,0.01591968,0.55,9.824,0.004,7.79,16.8,0.007,0.624207,100.0,Excellent
Canada,IT09S1304,River,12-01-2002,0.061824,0.7883,11.684103383014412,0.20525,7.1,11.2381,0.355,0.637488,86.31941309713675,Good
Canada,FISW_612,Lake,10-04-2002,0.1,2.13333,5.716,0.0,7.79,16.456,0.0,0.0,100.0,Excellent
Canada,FISW_187,Lake,02-12-2002,0.1288,2.13333,1.15,0.04,7.79,2.55,0.4,27.0047,100.0,Excellent
Canada,IT09S1304,River,12-01-2003,0.069552,0.95,8.177,0.0086,8.0017,13.625,0.038,0.447127,100.0,Excellent
Canada,SE626033-147550,Lake,08-06-2003,0.020608,2.13333,9.824,0.003,7.79,17.6,0.351,1.780676637,100.0,Excellent
Canada,IT09S1304,River,12-01-2004,0.023184,1.17,10.685,0.002,7.01,11.968,0.042,1.607001,100.0,Excellent
Canada,SE683337-133785,Lake,08-06-2004,0.00530656,2.13333,9.8,0.0025,7.79,12.5,0.04,5.83682,100.0,Excellent
Canada,IT09S1304,River,12-01-2005,0.01288,0.17,9.658,7.74127,8.085,10.4929,0.034,0.349733,46.01091529150107,Marginal
Canada,RS7323A,Lake,08-06-2005,0.3030664,1.7906,9.5438,0.0077,7.79,12.0,0.4,0.4519967,100.0,Excellent
Canada,IT09S1304,River,12-01-2006,0.0119784,0.6833,10.44,0.076,8.3571,9.997,0.061,5.020218,92.78546826884994,Good
Canada,FISW_987,Lake,10-04-2006,0.011377329,0.323333,7.625,0.00033333,7.79,14.55,0.4,1.495586691,100.0,Excellent
Canada,IT02-64031101,Lake,08-06-2006,0.02339871,0.201667,8.59,0.0008,7.79,12.6,0.4,0.686185,100.0,Excellent
Canada,IT09S1304,River,12-01-2007,0.00966,1.5,10.5,0.0025,8.16667,13.9667,0.178255,15.959335,100.0,Excellent
Canada,FI39531,Lake,10-04-2007,0.047656,0.71,11.0,0.00497143,7.79,12.0,0.049,0.8854,100.0,Excellent
Canada,IT21-13022,Lake,08-06-2007,0.026708998,0.274671,10.8,0.0129,7.79,12.0,0.4,19.784263,100.0,Excellent
Canada,SE728744-162653,Lake,02-12-2007,0.037352,2.13333,9.3,0.002,7.79,0.0,0.4,0.66405,100.0,Excellent
Canada,IT09S1304,River,12-01-2008,0.455092904,12.59,11.684103383014412,0.0026,7.88,18.5,0.064,6.65413516,91.64906664407448,Good
Canada,IT21-13042,Lake,05-03-2008,0.010948,0.535,9.295,0.00055,7.79,7.05,0.4,1.775227,100.0,Excellent
Canada,SE633344-130068,Lake,10-04-2008,0.041216,0.78,9.4036,0.002,4.69,14.1333,0.01,0.115102,100.0,Excellent
Canada,BAD2,Lake,08-06-2008,0.22218,0.393333,11.1,0.0025,8.47,18.225,0.4,1.173155,100.0,Excellent
Canada,DESM_DENI_48162282,River,12-01-2009,0.02307671,3.83,8.23,0.0058,8.2283,10.8429,0.25,0.774725,100.0,Excellent
Canada,FISW_602,Lake,10-04-2009,0.05152,1.25,7.2667,0.00242857,8.25,16.7,0.4,1.261695,100.0,Excellent
Canada,BADERANSKO-JEZERO,Lake,08-06-2009,0.0644,3.34,13.73,0.0,8.2,21.3,0.4,1.37237,100.0,Excellent
Canada,FRHR03105500,River,12-01-2010,0.00644,2.5,10.0818,0.00326316,8.2,14.825,0.339,0.531173595,100.0,Excellent
Canada,PLSM_PL01S0302_0266,Lake,10-04-2010,0.01354551,4.25,8.15,0.008,7.9875,15.5375,0.4,0.516484809,100.0,Excellent
Canada,EELM17,River,08-06-2010,0.029624,0.5,7.8,0.012,8.3,24.4,0.4,0.110675,100.0,Excellent
Canada,FRFLP0625013,Lake,11-09-2010,0.011019561,0.5,7.8,0.00326316,7.79,12.0,0.0297475,0.249911233,100.0,Excellent
Canada,HRRV_16451,River,12-01-2011,0.16744,1.1875,8.15,0.00675,8.25,11.5,0.0904,0.32363495,100.0,Excellent
Canada,FISW_627,Lake,10-04-2011,0.0097888,2.13333,4.3708,0.0405,7.4472,14.45,0.2167,0.690612,100.0,Excellent
Canada,EELM18,River,08-06-2011,0.01288,1.9,9.824,0.012,8.6,26.4,0.4,0.110675,86.38746300939839,Good
Canada,FRB2R01009300,River,12-01-2012,0.41216,3.544,10.7167,0.0308333,6.84,24.15,0.100667,0.420565,100.0,Excellent
Canada,PLSM_PL01S0302_0273,Lake,10-04-2012,0.157136,2.13333,7.93333,0.002,6.9092,12.0,0.1115,1.4365615,100.0,Excellent
Canada,NL92_KETMWT,Lake,08-06-2012,0.0644,0.55,9.2,0.01425,7.70143,24.6,0.4,4.427,100.0,Excellent
Canada,ES310092,River,12-01-1990,1.1879868,81.9667,11.684103383014412,2.51237,7.7942,15.8333,0.950667,0.339403481,47.348158731040016,Marginal
Canada,LVL1430100,River,12-01-1991,11.3256416,175.325,11.684103383014412,8.44068,7.8515,20.6333,0.4,0.53456025,41.596261591384064,Poor
Canada,LVL1430100,River,12-01-1992,17.7058784,231.108,11.684103383014412,1.78648,8.23,19.5333,0.4,0.38182875,44.23195871500148,Poor
Canada,LVL1430100,River,12-01-1993,15.0268384,150.15,7.65,4.40834,8.06,18.65,0.4,18.19497,43.03130764440601,Poor
Canada,LVL1430100,River,12-01-1994,16.8967568,4.44,8.57,0.25,7.9348,20.5714,0.437,21.42668,54.38541122549775,Marginal
Canada,LVL1430100,River,12-01-1995,4.6389252,4.62,8.42,0.13,7.464,18.5429,0.0744633,25.41098,70.59347781972323,Fair
Canada,LTR22,River,12-01-1996,0.0267904,4.64,8.0,0.14,7.5346,8.0,0.0697618,2.545525,89.85046233665679,Good
Canada,LTR22,River,12-01-1997,0.064388279,0.0,11.0,0.0163,7.7308,12.9909,0.397688,19.74442,100.0,Excellent
Canada,LTR22,River,12-01-1998,0.07317128,0.0,11.684103383014412,0.15,7.6477,11.5,0.10574,18.19497,89.30746921663365,Good
Canada,DESM_BB_NE_0061,River,12-01-1999,0.0653016,3.0,9.8,0.282435,7.3823,9.48182,0.005472,0.0,82.50145119708961,Good
Canada,DESM_BB_NE_0061,River,12-01-2000,0.06664112,1.08333,9.61,0.250803,7.0792,11.0333,0.794292,3.4517319,84.00312664613469,Good
Canada,DESM_BB_NE_0061,River,12-01-2001,0.0326508,0.166667,10.85,0.029833,8.18,10.6333,0.916667,2.3317009,100.0,Excellent
Canada,DESM_BB_NE_0061,River,12-01-2002,0.02576,0.583333,10.7,0.032125,7.7131,10.1333,1.05,0.0,100.0,Excellent
Canada,DESM_BB_SP_0060,River,12-01-2003,0.02737,2.692,9.824,0.030375,8.22,10.7273,0.929981,4.409292,100.0,Excellent
Canada,FRDR06053800,River,12-01-2004,0.1486352,2.5462,9.2346,0.0915,8.075,10.5583,1.8625,6.8450274,92.23790820876188,Good
Canada,CZSM_PM1176,River,12-01-2005,0.3453128,1.32453,9.3885,0.0123251,8.1,7.5875,6.3263,15.79699691,100.0,Excellent
Canada,FRGR04050000,River,12-01-2006,0.37996,3.79,10.5667,0.0312083,7.77,9.52,2.67342,11.758112,100.0,Excellent
Canada,FISW_773,River,02-12-2006,0.27048,3.0,12.9,0.0225,7.79,15.3667,0.4,16.52745191,100.0,Excellent
Canada,FRGR04088000,River,12-01-2007,0.084640018,2.4,8.8,0.2,7.766,10.5,0.039,3.803195857,86.59700897114692,Good
Canada,BADR_5-10,River,08-06-2007,0.230980904,4.75,10.0333,0.0535,7.79333,12.0,0.4,1.6047875,93.18742829793884,Good
Canada,FRGR04086500,River,12-01-2008,0.1,4.08333,11.475,0.05,8.02083,11.4818,0.4,1.851291714,100.0,Excellent
Canada,LTR127,River,12-01-2009,0.04293329,2.13333,11.7333,0.015,7.79,12.0,0.4,10.00502,100.0,Excellent
Canada,IT05135,River,12-01-2010,0.3775128,3.13,11.4333,0.0075,7.79,12.0,0.4,40.59559,100.0,Excellent
Canada,UKZ1012601,River,12-01-1969,0.2449776,1.5112,10.73,0.0895,7.8,12.0,0.4,3.2777508,92.31774977569737,Good
Canada,FRB2R01004000,River,12-01-1970,3.1405304,5.2561,10.6167,0.4512,7.1723,12.0,0.4,21.2956408,66.7320705848834,Fair
Canada,FRDR06002000,River,12-01-1971,0.8892352,3.7517,9.4456,0.236,7.3032,12.0,0.4,13.5581302,79.19082186379931,Fair
Canada,FR05146000,River,12-01-1972,1.7090472,3.3071,9.063,0.2036,8.3463,12.0,9.05,2.0461594,77.3360678327322,Fair
Canada,FRFR05191000,River,12-01-1973,21.2093672,7.2419,8.9667,0.8656,6.3255,12.0,5.86,15.7764999,47.99598581134881,Marginal
Canada,FRFR05161000,River,12-01-1974,5.6735112,11.6509,5.64,0.281,7.378,12.0,5.65,6.7857056,61.27192625209187,Marginal
Canada,FR05139350,River,12-01-1975,0.4188576,2.6061,10.1042,0.0279,7.5681,12.0,6.76,17.7283642,100.0,Excellent
Canada,FR05139350,River,12-01-1976,0.0269192,20.0054,10.075,0.0033,7.1622,12.0,0.0383,3.63014,88.39408369649252,Good
Canada,FRFR05139310,River,12-01-1977,2.620436,3.0057,6.9743,0.0,7.4578,12.0,6.59,4.2609875,83.45922781213054,Good
Canada,FRFR05137000,River,12-01-1978,0.23184,1.801,7.5656,0.0746,6.9693,12.0,0.042,1.8805896,92.82574295278808,Good
Canada,FRFR05139310,River,12-01-1979,0.5152,4.41,10.66,0.1367,7.3064,12.0,7.11,2.6986992,84.50899543606427,Good
Canada,FR05201057,River,12-01-1980,0.29624,3.17,8.6694,0.0792,7.5926,12.0,7.41,3.5544383,92.68710150499612,Good
Canada,FRFR05137000,River,12-01-1981,0.20608,3.68,8.458,0.1133,5.2531,12.0,6.51,2.939528,91.2445271253336,Good
Canada,FRFR05139310,River,12-01-1982,0.27048,2.61,10.0,0.12,7.0619,12.0,6.96,19.43453,90.90679455747016,Good
Canada,FRFR05139310,River,12-01-1983,0.322,2.47,9.5,0.11,6.7549,12.0,7.14,12.43987,91.40646532980418,Good
Canada,FRFR05137000,River,12-01-1984,0.27048,2.95,9.3,0.1,6.3848,12.0,8.13,3.1294463,91.87448244207818,Good
Canada,FR06043800,River,12-01-1985,0.61824,4.18,9.5,0.913,7.9334,12.0,6.85,14.38775,63.147490491521744,Marginal
Canada,FRFR05139310,River,12-01-1986,0.27048,2.67,9.6,0.44,6.7992,12.0,6.37,4.2654145,76.25924357003305,Fair
Canada,HU04FF60,River,12-01-1987,0.34776,3.0,4.0,0.08,8.2307,12.0,6.19,5.4691158,92.66119662650438,Good
Canada,HU04FV12,River,12-01-1988,0.20608,2.9,11.8,0.39,8.1,12.0,12.8,8.36703,78.03595296678952,Fair
Canada,HU04FV12,River,12-01-1989,0.63112,1.858,11.5,0.113,8.25,12.0,0.0165,3.399936,84.91885797462433,Good
Canada,FRDR06073500,River,12-01-1990,0.1450288,2.67826,10.8,0.330208,8.0979,15.5,0.0215,23.74483428,80.40086097744758,Good
Canada,HU04FV12,River,12-01-1991,0.2677752,2.26087,11.4,0.823333,8.1875,13.6727,3.07,15.71585,66.78366607562616,Fair
Canada,HU04FV12,River,12-01-1992,1.394904,3.088,11.52,0.136,8.2666,12.625,3.53,5.378805,81.13453654808251,Good
Canada,FRDR06073500,River,12-01-1993,0.718704,9.66,7.65,0.01,8.0923,12.9083,0.3904,18.90329,85.62367629975569,Good
Canada,LTR133,River,02-12-1993,0.56672,3.8,10.1,0.065,7.79,12.0,0.4,1.7708,86.2432848445066,Good
Canada,FRDR06073500,River,12-01-1994,0.39928,5.2,8.59,0.31,8.1487,13.2833,1.054,21.07252,81.2653775583015,Good
Canada,HU04FV12,River,12-01-1995,0.0644,2.11,8.2,0.14,8.2229,10.45,0.5,24.56985,89.85046233665679,Good
Canada,FRDR06073500,River,12-01-1996,0.36064,3.56,11.5,0.26,8.2495,8.9,1.2027,23.15321,83.55727001622006,Good
Canada,FR05136000,River,12-01-1997,0.23184,4.06,11.684103383014412,0.25,7.3451,13.625,1.5944,23.15321,84.04241344132313,Good
Canada,FR05158000,River,12-01-1998,0.1728496,3.71,9.6,0.2,7.9151,12.0,0.6,23.0204,86.59700897114692,Good
Canada,IENB_06D010600,River,12-01-1999,0.048944,3.62,8.14,0.14,7.96154,16.9,1.62526,21.64803,89.85046233665679,Good
Canada,ATFW40712027,River,12-01-2000,0.01932,3.45,8.44,0.21,8.05,12.0417,1.55149,21.42668,86.06998041056373,Good
Canada,ATFW40814017,River,12-01-2001,0.04792429,2.20833,8.97,0.2,7.9951,16.7,4.2,22.35635,86.59700897114692,Good
Canada,ATFW73229907,River,12-01-2002,0.0,0.0,11.684103383014412,0.02608,7.7412,18.6,7.272,13.949477,100.0,Excellent
Canada,ATFW40711027,River,12-01-2003,0.0356776,3.385,10.8408,0.0278,8.2244,12.1667,6.234,3.3702751,100.0,Excellent
Canada,BAU6,River,08-06-2003,0.11914,2.05,10.1625,0.0855,7.9325,12.0,0.4,5.9211125,92.46997189931469,Good
Canada,SE643167-140119,River,02-12-2003,0.078568,2.13333,14.13,0.009,7.0,12.0,0.594,5.83682,93.19551578193868,Good
Canada,ATFW73229907,River,12-01-2004,0.108836,2.925,10.9283,0.0495,7.89646,16.2,8.015,3.8771666,100.0,Excellent
Canada,BATR1,River,08-06-2004,0.18676,2.575,9.6825,0.1225,7.585,12.0,0.4,4.7479575,90.77816570064024,Good
Canada,ATFW73225917,River,12-01-2005,0.1555904,2.6875,9.1333,0.0482,7.86778,16.8,2.14786,3.6066769,100.0,Excellent
Canada,ATFW73320907,River,12-01-2006,0.01288,0.95,10.42,0.149167,8.04636,9.125,0.831333,3.6190725,89.35288546058811,Good
Canada,LVV0270200,River,12-01-2007,0.434162904,2.0,10.3706,0.05,7.8283,9.4167,1.62727,7.11135572,100.0,Excellent
Canada,FRDR06196500,River,08-06-2007,0.1,1.85,8.4,0.0383333,8.1,22.2,0.4,5.83682,100.0,Excellent
Canada,IT01804010,River,12-01-2008,0.004293329,6.18182,12.1933,0.0,7.47917,11.5,1.9105,2.463023428,93.19410817362906,Good
Canada,BAU13,River,10-04-2008,0.05152,2.5125,9.73333,0.015375,7.79,21.775,0.4,2.2245675,100.0,Excellent
Canada,IT06UD24,River,12-01-2009,0.0322,30.0,10.5,0.0075,8.0075,14.225,0.65125,12.639085,84.04241344132313,Good
Canada,BAB02,River,10-04-2009,2.40254504,8.53333,5.07667,0.0213333,8.105,22.8,0.4,4.91397,79.71649585769396,Fair
Canada,FISW_778,River,08-06-2009,0.05152,4.35,9.3714,0.061,8.1,12.7,0.4,11.73155,93.11672543579722,Good
Canada,IT06UD59,River,12-01-2010,0.0483,1.18,9.4,0.0383333,8.0,0.8,0.812,97.8367,91.46898321188375,Good
Canada,BAB02,River,10-04-2010,3.31444904,7.54,10.3333,0.1625,8.0775,21.65,0.4,2.561758809,69.00188830316391,Fair
Canada,BAB7,River,11-09-2010,0.036064,2.585,9.23,0.074,7.93,13.65,0.4,5.22386,92.84246772450194,Good
Canada,FISW_23,River,02-12-2010,0.274344,2.13333,13.0,0.057,7.29,0.125,1.176,5.83682,93.16316314225972,Good
Canada,IT06UD59,River,12-01-2011,0.10304,4.0,9.55,0.0345,8.15092,10.1333,1.7675,86.9573475,92.023371984326,Good
Canada,BERW_12181,River,12-03-2018,0.193,2.0,10.29,0.148,8.1,12.13,0.4,23.531,89.41646843438915,Good
Canada,BASAN_4-20,River,10-04-2011,0.124936,1.36,9.8,0.0,8.2,18.6,0.4,1.846059,100.0,Excellent
Canada,IT22SG000021,River,12-01-2012,0.028101842,3.524,9.8875,0.01,7.8,10.25,1.15,7.84787571,100.0,Excellent
Canada,BERW_04130,River,12-03-2018,0.027,1.4,10.64,0.05,8.24,11.24,0.4,21.893,100.0,Excellent
Canada,SE660945-156129,River,12-01-1968,0.183646904,1.9,9.824,0.104,7.79,12.0,0.856333,5.83682,91.6918289845143,Good
Canada,SE660945-156129,River,12-01-1969,0.194381096,3.33,9.824,0.0945833,7.79,12.0,1.29308,5.83682,92.11035889526238,Good
Canada,SE660945-156129,River,12-01-1973,0.135455096,1.72,9.824,0.0525833,7.79,12.0,1.88892,5.83682,93.19116173391726,Good
Canada,SE660945-156129,River,12-01-1974,0.09187729,3.1,9.824,0.00508333,7.79,12.0,1.43683,2.39058,100.0,Excellent
Canada,SE660945-156129,River,12-01-1975,0.01717329,1.45,9.824,0.036,7.79,12.0,0.190833,9.56232,100.0,Excellent
Canada,DK210467,River,12-01-1976,0.2254,4.7,9.824,0.119,7.79,12.0,1.09,0.2589795,90.95787931216935,Good
Canada,DK210467,River,12-01-1977,0.069552,3.75,9.824,0.082,7.79,12.0,2.07,0.3001506,92.5942486584971,Good
Canada,DK210467,River,12-01-1978,0.1932,2.84,9.824,0.05,7.79,12.0,3.2,0.340879,100.0,Excellent
Canada,UKEA_WIMS_SO_G0004151,River,12-01-1979,0.11592,2.79,9.824,0.07,7.79,12.0,3.71,0.4427,92.94536853574492,Good
Canada,DK190012,River,12-01-1980,0.29624,3.6,9.824,0.102,7.79,12.0,2.26,0.1474191,91.78398446995084,Good
Canada,UKEA_WIMS_SO_G0004151,River,12-01-1981,0.29624,3.33,9.824,0.11,7.79,12.0,2.34,0.4537675,91.40646532980418,Good
Canada,UKEA_WIMS_SO_G0004151,River,12-01-1982,0.55384,2.99,9.824,0.143,7.79,12.0,2.57,9.47378,84.14593599285635,Good
Canada,UKEA_WIMS_SO_G0004151,River,12-01-1983,0.1932,3.58,9.824,0.11,7.79,12.0,2.15,10.13783,91.40646532980418,Good
Canada,UKEA_WIMS_SO_G0004151,River,12-01-1984,0.20608,2.57,9.824,0.137,7.79,12.0,5.39,9.87221,90.01205478598169,Good
Canada,UKEA_WIMS_MI_59394920,River,12-01-1985,0.20608,2.47,9.824,0.143,7.79,12.0,14.63,15.4945,89.6881673169108,Good
Canada,UKEA_WIMS_MI_59394920,River,12-01-1986,1.4168,2.82,9.824,0.113,7.79,12.0,14.11,15.36169,81.96574473718245,Good
Canada,HU101179332,River,12-01-1987,33.484136,2.8285,9.824,0.1246,7.79,12.0,2.8586,4.9569119,49.12859113052713,Marginal
